| Type of Question | Question | Answer |
| --- | --- | --- |
| Yes/No | Is the woman in the image wearing blue leggings? | Yes. |
| Yes/No | Does the woman have her hands on her hips? | Yes. |
| Yes/No | Are the leggings form-fitting? | Yes. |
| Yes/No | Do the leggings have a peplum hem? | Yes. |
| Yes/No | Is the woman's pose confident and assertive? | Yes. |
| Yes/No | Are the gold heels complementing the blue leggings? | Yes. |
| What | What color are the leggings? | Blue. |
| What | What type of shoes is the woman wearing? | Gold heels. |
| How | How are the leggings fitting the woman's body? | Formfitting. |
| How | How would you describe the woman's pose in the image? | Confident and assertive. |
