| Type of Question | Question | Answer |
| --- | --- | --- |
| Yes/No | Is the image in color? | Yes. |
| Yes/No | Are the women facing the camera? | No. |
| Yes/No | Are the dresses strapless? | Yes. |
| Yes/No | Do the women have their hands on their hips? | No. |
| Yes/No | Is there any text or other objects in the image? | No. |
| Yes/No | Is the overall atmosphere of the image playful? | No. |
| What | What color is the dress on the left? | Blue. |
| What | What color is the dress on the right? | Red. |
| What | What are the women doing with their hands? | Adjusting their dresses or posing. |
