| Type of Question | Question | Answer |
| --- | --- | --- |
| Yes/No | Is the woman in the image wearing a strapless top? | Yes. |
| Yes/No | Are the shorts denim? | No. |
| Yes/No | Is the woman wearing a tattoo? | Yes. |
| Yes/No | Is the purse in the woman's left hand? | Yes. |
| Yes/No | Is the woman's right hand on her head? | Yes. |
| Yes/No | Does the image have a sexy atmosphere? | Yes. |
| What | What is the logo on the woman's top? | Gucci. |
| What | What is the color of the woman's shorts? | Blue. |
| How | How is the woman holding her purse? | In her left hand. |
| How | How is the woman's right hand positioned? | On her head. |
