| Type of Question | Question | Answer |
| --- | --- | --- |
| Yes/No | Is the man wearing a white shirt? | Yes. |
| Yes/No | Is the woman wearing a black shirt? | Yes. |
| Yes/No | Are the man and woman standing close to each other? | Yes. |
| Yes/No | Are their lips touching? | Yes. |
| Yes/No | Does the image evoke feelings of romance? | Yes. |
| Yes/No | Does the image evoke feelings of desire? | Yes. |
| What | What is the man wearing? | A white shirt. |
| What | What is the woman wearing? | A black shirt. |
| How | How are the man and woman standing? | They are standing close to each other. |
| How | How are their lips touching? | Their lips are touching in a passionate kiss. |
