| Type of Question | Question | Answer |
| --- | --- | --- |
| Yes/No | Is the woman sitting on the man's lap? | Yes. |
| Yes/No | Are they kissing each other? | Yes. |
| Yes/No | Is the woman wearing a white shirt? | Yes. |
| Yes/No | Is the man wearing a gray shirt? | Yes. |
| Yes/No | Are they smiling? | Yes. |
| Yes/No | Is the image sexy? | Yes. |
| What | What is the woman wearing? | A white shirt. |
| What | What is the man wearing? | A gray shirt. |
| How | How are they sitting on each other's lap? | The woman is sitting on the man's lap with her legs straddling his hips. |
| How | How are they kissing each other? | They are kissing each other passionately and tenderly, with their lips pressed together and their faces leaning in close. |
