| Type of Question | Question | Answer |
| --- | --- | --- |
| Yes/No | Is the person in the image wearing leggings? | Yes. |
| Yes/No | Does the person have a sports bra on? | Yes. |
| Yes/No | Are the leggings navy blue? | Yes. |
| Yes/No | Does the image convey a sense of confidence? | Yes. |
| Yes/No | Is the image sexy? | Yes. |
| Yes/No | Are the leggings form-fitting? | Yes. |
| What | What color are the leggings? | Navy blue. |
| What | What is the person wearing on their upper body? | A white sports bra. |
| How | How do the leggings accentuate the person's body shape? | They are formfitting. |
| How | How does the image convey a sense of allure and confidence? | Through the person's pose and attire. |
