| Type of Question | Question | Answer |
| --- | --- | --- |
| Yes/No | Is the man wearing a black shirt? | Yes. |
| Yes/No | Is the woman wearing a white shirt? | Yes. |
| Yes/No | Are the man and woman kissing? | Yes. |
| Yes/No | Is the man holding the woman close? | Yes. |
| Yes/No | Is the woman leaning into the man's kiss? | Yes. |
| Yes/No | Are the man and woman dressed in formal attire? | Yes. |
| What | What is the man wearing? | A black shirt. |
| What | What is the woman wearing? | A white shirt. |
| How | How is the man holding the woman? | He is holding her close. |
| How | How is the woman leaning into the man's kiss? | She is leaning into his kiss. |
